"LCLCOD","LCLTTR","LCLIDL","LCLTDL","LCLDLI","LCLILF","LCLIMS","LCLTPD","LCLNRD","LCLIDP","LCLTDP","LCLDPA","LCLFLG"
"13525","V","D","","","","","",0,"D","","000000000000",""
"14754","V","D","","","","","",0,"D","","000000000000",""
"10310","V","D","","","","","",0,"D","","000000000000",""
"14989","V","D","","","","","",0,"D","","000000000000",""
"7764","V","D","","","","","",0,"D","","000000000000",""
"14458","V","D","","","","","",0,"D","","000000000000",""
"8304","V","D","","","","","",0,"D","","000000000000",""
"8229","V","D","","","","","",0,"D","","000000000000",""
"8565","V","D","","","","","",0,"D","","000000000000",""
"7382","V","D","","","","","",0,"D","","000000000000",""
"6679","V","D","","","","","",0,"D","","000000000000",""
"14576","V","D","","","","","",0,"D","","000000000000",""
"8861","V","D","","","","","",0,"D","","000000000000",""
"5769","V","D","","","","","",0,"D","","000000000000",""
"8781","V","D","","","","","",0,"D","","000000000000",""
"8743","V","D","","","","","",0,"D","","000000000000",""
"12564","V","D","","","","","",0,"D","","000000000000",""
"12255","V","D","","","","","",0,"D","","000000000000",""
"7458","V","D","","","","","",0,"D","","000000000000",""
"8890","V","D","","","","","",0,"D","","000000000000",""
